id,type,text1,text2,text3,text4,notes,reviewed
eis_lunarrose,WEAPON,"Launches a MIRV that splits into multiple EMP-less sabots when close to its target. Capable of decimating shields on larger vessels.

A post-collapse design of Iron Shell's creation, the Lunar Rose makes use of a heavily-converted Hurricane MIRV platform to deliver several modified Sabot missiles to its target. Devised to make up for some of the shortcomings of their conventional counterparts, 'Lunar Sabots' have a much higher effective range as well as greatly improved velocity. Unfortunately, this comes at the cost of the missile's EMP capabilities. The end result is a truly fearsome weapon, obliterating all but the strongest of shields.",,,,,
eis_infernal_star,WEAPON,"A shotgun of gargantuan proportions, the Infernal Star fires multiple underpowered Hellbore rounds in a fixed pattern. While unable to charge its plasma shells to their full potential, the Infernal Star makes up for this shortcoming through its sheer volume of firepower. Has a lengthy reload and charging period.",,,,,
eis_celestials_blossom,WEAPON,"Boasting a massive arsenal of torpedo tubes, Celestial's Blossom violently tears apart any unshielded targets unfortunate enough to be on its receiving end with 2 waves of fixed spread patterns of 5 miniature Reaper torpedos. Best used at very short engagement range. A combat-rated autoloader system ensures usefulness throughout protracted engagements.",,,,,
eis_celestials_aster,WEAPON,Fires off 5 miniature Reaper torpedos in a fixed spread pattern and is best used at very short engagement range. A combat-rated autoloader system ensures usefulness throughout protracted engagements.,,,,,
eis_superheavy_needler,WEAPON,"A quadruple battery of Needlers, this monstrosity of a weapon can put out massive waves of flechettes in mere seconds, decimating anything caught in its field of fire.",,,,,
eis_barretta,WEAPON,"In principle an antiquated weapon system, the Barretta fires a high-velocity penetrator round that effectively strips even heavy armor with its sustained surgical barrage and causes utter devastation to the hull beneath.",,,,,
eis_milf,WEAPON,A medium-ranged beam with short burst that causes devastating damage to armor.,,,,,
eis_ironhammer,WEAPON,"Adapted to fit the Fourteenth Battlegroup's exacting criteria, these modified Hammer torpedos sport improved damage as well as several light Annihilator rockets to improve torpedo survivability. These alterations come at the cost of reduced launch speed.",,,,,
,,,,,,,
#Built-In Weapons,,,,,,,
eis_fluxthrower,WEAPON,"A colossal prototype energy weapon demanding the majority of the Tyrant's length to accommodate. The so-called ""Fluxthrower"" stores accumulated flux in special capacitors before unleashing a lethal stream of superheated electroplasma.

While now used as a weapon, the Flux Thrower was originally built into Tyrant as an attempt to circumvent the limitations of flux cores of the time, as the ship's heavy armor plating and primitive chassis bottlenecked its ability to vent flux. To compensate, several massive capacitors were linked directly to the flux core, which could vent through a large, dedicated port more rapidly than the ship could through traditional, distributed venting. While the system never caught on due to the space required and concerns about creating structural weaknesses on other vessels, it was retained in the Tyrant (XIV) due to its difficulty in removal. In time, Tyrant (XIV) crews came to appreciate the Fluxthrower's terrifying effectiveness as an impromptu weapon.",,,,,
